"","shannon_diversity"
"ERR9835062",3.26830295298072
"ERR9835063",3.27675780157817
"ERR9835064",3.24876157525935
"ERR9835065",3.20492528823674
"ERR9835066",3.25029192200545
"ERR9835067",3.35872137722442
"ERR9835068",3.18917870680621
"ERR9835069",3.0787213289183
"ERR9835070",3.34839959494283
"ERR9835071",3.45098801465356
"ERR9835072",3.38255815748513
"ERR9835074",3.18684635385295
"ERR9835075",3.19762322999194
"ERR9835081",3.25119049166566
"ERR9835082",3.23096096238178
"ERR9835083",3.11685999671356
"ERR9835084",3.22859327051745
"ERR9835085",3.278166615793
"ERR9835088",3.40984483088984
"ERR9835089",3.20108418202864
"ERR9835090",3.10070796201678
"ERR9835092",3.2986218211701
"ERR9835094",3.20700162427793
"ERR9835095",3.21427605749826
"ERR9835096",3.30509909284448
"ERR9835097",3.13850953557128
"ERR9835098",3.35604219871701
"ERR9835099",3.19193449562836
"ERR9835100",3.29046315257868
"ERR9835106",3.40256648046708
"ERR9835107",3.04595117066743
"ERR9835108",3.27414574741066
"ERR9835109",3.37448645049404
"ERR9835111",3.18003299191486
"ERR9835112",2.99554855997552
"ERR9835113",3.23640999320843
"ERR9835114",3.15337578164271
"ERR9835115",3.25633931349665
"ERR9835116",3.18496221766861
"ERR9835117",3.20322400758309
"ERR9835118",3.26358446572682
"ERR9835119",3.15187523730003
"ERR9835120",3.11149235665214
"ERR9835121",3.17208779323452
"ERR9835122",3.50306983399108
"ERR9835123",3.24024496016699
"ERR9835124",3.33125550713774
"ERR9835125",3.01263264065461
"ERR9835126",3.34191628376157
"ERR9835128",3.28724067393554
"ERR9835129",3.2359559190598
"ERR9835130",3.26243354401169
"ERR9835131",3.38048836939462
"ERR9835132",3.38068615172214
"ERR9835133",3.08521049406895
"ERR9835135",3.25923977136098
"ERR9835136",3.07073999323049
"ERR9835137",3.40952274180834
"ERR9835138",3.11523547752405
"ERR9835139",3.13138984099208
"ERR9835140",3.23095343709405
"ERR9835141",3.25095481323228
"ERR9835142",3.13883381591416
"ERR9835143",3.60236905661137
"ERR9835144",3.16205267939359
"ERR9835146",3.42756515139732
"ERR9835147",3.2837341982037
"ERR9835148",3.18784380824633
"ERR9835149",3.23178019131542
"ERR9835151",3.09845994151673
"ERR9835152",2.89849980451346
"ERR9835154",3.33450615703368
"ERR9835155",3.09700001662168
"ERR9835158",3.14730810859418
"ERR9835160",3.22800436710445
"ERR9835161",3.21184199697567
"ERR9835162",3.33361266514379
"ERR9835164",3.20599981575606
"ERR9835165",3.24350806262389
"ERR9835167",3.14124841083177
"ERR9835168",3.32730505660023
"ERR9835171",3.25122251090619
"ERR9835172",3.34288030857579
"ERR9835173",3.15633236173578
"ERR9835179",3.0660360253342
"ERR9835180",3.21820556014645
"ERR9835182",2.97634224613339
"ERR9835183",3.00413945371376
"ERR9835185",3.04031429074436
"ERR9835187",3.12932346530968
"ERR9835188",3.0560414390943
"ERR9835189",3.18079116831191
"ERR9835190",3.25382502620778
"ERR9835195",3.15399836778761
"ERR9835197",3.195434105205
"ERR9835198",3.36245391403468
"ERR9835199",3.01649150951679
"ERR9835200",3.35516283562906
"ERR9835201",3.13833846901824
"ERR9835202",3.25093485372511
"ERR9835203",3.41087807383827
"ERR9835204",3.17666693329481
"ERR9835205",3.321354360549
"ERR9835206",3.0759055985591
"ERR9835207",2.85992520379064
"ERR9835209",3.06473272602402
"ERR9835211",3.43079716264126
"ERR9835212",3.340493437808
"ERR9835213",3.40216630056016
"ERR9835214",3.14439454250324
"ERR9835215",3.10003016086026
"ERR9835216",3.29209188169189
"ERR9835217",3.1867566816575
"ERR9835218",3.06598569494886
"ERR9835219",3.18869421345652
"ERR9835221",3.15329254942187
"ERR9835223",2.94096295553557
"ERR9835226",3.00321002315932
"ERR9835227",3.21679238274114
"ERR9835229",3.26513712884597
"ERR9835230",3.07718942548558
"ERR9835231",3.10831003980125
"ERR9835232",3.50119568009586
"ERR9835233",3.04855336122203
"ERR9835234",3.22841377268038
"ERR9835235",3.14361812250072
"ERR9835236",3.1564194546773
"ERR9835237",3.62627863022186
"ERR9835238",3.10021188233605
"ERR9835240",3.1993946660788
"ERR9835241",3.31974287362187
"ERR9835242",3.36829180802215
"ERR9835243",3.11662659151568
"ERR9835244",3.12590802166002
"ERR9835246",3.12720558193875
"ERR9835247",3.10117598902194
"ERR9835249",3.73134082024186
"ERR9835250",3.17994127631582
"ERR9835252",3.25397947865343
"ERR9835255",3.20642531196979
"ERR9835257",3.3257688909916
"ERR9835258",2.9680090572642
"ERR9835261",3.15007217509444
"ERR9835263",3.35590344892132
"ERR9835264",3.08539811512205
"ERR9835267",3.50484245130187
"ERR9835268",3.23212494877646
"ERR9835269",2.92482189990692
"ERR9835270",3.17281709585124
"ERR9835271",3.18344476554534
"ERR9835272",3.27754168285913
"ERR9835273",3.09420171668538
"ERR9835274",3.21147987825631
"ERR9835275",2.87595061369075
"ERR9835276",3.25923382622192
"ERR9835277",3.29168406268606
"ERR9835278",3.11643712940231
"ERR9835279",3.30403973772943
"ERR9835283",3.1814514910759
"ERR9835284",3.33598937068025
"ERR9835287",3.48285637163847
"ERR9835288",3.32354108822089
"ERR9835295",3.37582215089692
"ERR9835298",3.34065761844834
"ERR9835300",3.22035605368578
"ERR9835301",3.4594045026068
"ERR9835303",3.32420271009648
"ERR9835304",3.09852128159416
"ERR9835305",3.11010375923544
"ERR9835306",3.19333233102431
"ERR9835307",3.25220784601489
"ERR9835308",3.17760605892527
"ERR9835309",3.18334845402785
"ERR9835310",3.17526032025459
"ERR9835311",2.98928469479181
"ERR9835312",3.41393673415114
"ERR9835313",3.34986688029385
"ERR9835315",3.25702305383736
"ERR9835316",2.98562252930911
"ERR9835317",3.15416518163665
"ERR9835319",3.40789376043884
"ERR9835320",3.15122127052987
"ERR9835321",3.09020189981131
"ERR9835322",3.24767741821695
"ERR9835323",3.38386712193409
"ERR9835325",3.32924991986313
"ERR9835326",3.19510410076155
"ERR9835327",3.18428851254926
"ERR9835328",3.28549374552471
"ERR9835329",3.37802214741242
"ERR9835334",3.259609196596
"ERR9835335",3.14836922054918
"ERR9835337",3.19806377692336
"ERR9835338",3.19819698507435
"ERR9835339",3.03219993999319
"ERR9835340",3.04425515643236
"ERR9835341",3.46915453841718
"ERR9835343",3.2205670795452
"ERR9835345",3.39495741662114
"ERR9835347",3.03993104268884
"ERR9835349",3.03878940964663
"ERR9835351",3.1495225377941
"ERR9835353",2.95627483693134
"ERR9835354",3.04313613520495
"ERR9835355",3.12268668195981
"ERR9835357",3.01183038821943
"ERR9835360",3.15144393675944
"ERR9835363",3.13172961933615
"ERR9835364",3.4682088433286
"ERR9835365",3.11115553776188
"ERR9835366",3.25041596708517
"ERR9835368",3.17116747815506
"ERR9835369",3.20090772479329
"ERR9835373",3.1833452977693
"ERR9835374",2.8977187768235
"ERR9835375",3.22561959124382
"ERR9835376",3.11100229851579
"ERR9835378",3.18128289166375
"ERR9835380",3.34053728368937
"ERR9835381",3.39879102793188
"ERR9835382",3.4668984216118
"ERR9835383",3.16579269833483
"ERR9835384",3.18732541497197
"ERR9835385",3.33727129416762
"ERR9835386",3.29984974395181
"ERR9835387",3.19804894394994
"ERR9835388",3.07168079106268
"ERR9835389",3.29107192723105
"ERR9835391",3.17438219179751
"ERR9835392",3.18534181072195
"ERR9835393",3.13929800057356
"ERR9835394",3.24090737889097
"ERR9835397",3.17956948673046
"ERR9835399",3.32801293220761
"ERR9835400",3.22752301658424
"ERR9835403",2.91050258133126
"ERR9835404",3.22790606973757
"ERR9835407",3.26934115545663
"ERR9835408",3.27465914938884
"ERR9835409",3.24699949819166
"ERR9835410",3.50190137583901
"ERR9835411",3.18568207871605
"ERR9835412",3.22708531647825
"ERR9835413",3.13141341013858
"ERR9835414",3.24146029289958
"ERR9835415",3.15017386106612
"ERR9835416",3.22387588144879
"ERR9835417",3.31929879258283
"ERR9835418",3.35010621057584
"ERR9835420",3.2025142919263
"ERR9835470",3.13937950018839
"ERR9835471",3.17073284029738
"ERR9835472",3.16659724912652
"ERR9835473",3.19176913528071
"ERR9835474",3.07315087982316
"ERR9835475",3.09851446942536
"ERR9835476",3.08459165688093
"ERR9835477",3.11637437366889
"ERR9835478",3.29718161397469
"ERR9835479",3.13312737084907
"ERR9835480",2.99768903240484
"ERR9835481",3.06160682730902
"ERR9835482",3.03727743136388
"ERR9835483",3.14848375528745
"ERR9835484",3.10597677793975
